customerid,nrofautomatedtestcases,nrofmanualtestcases,nrofmanualtestcasesexecutedperyear,nrofautomatedtestcasesexecutedperyear,nroftotaltestcasesexecutedperyear,costavoidanceperyear,hoursspentontestingperyear,hoursspentonmanualtestingperyear,hoursspentonautomatedtestingperyear,hoursspentonautomatedtestprep,hoursspentonautomatedtestexec,hoursspentonmanualtestprep,hoursspentonmanualtestexec,Totallaborcostperyear
172,0,9368,1171,0,1171,42448000,104,104,0,0,0,293,39,19349
173,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
174,0,2810,2773,0,2773,25502750,1736,1736,0,0,0,693,924,50735
175,0,9368,9246,0,9246,25457250,1738,1738,0,0,0,694,925,50807
176,0,9368,2774,0,2774,25457250,1738,1738,0,0,0,694,925,50807
179,0,9368,1321,0,1321,42542500,889,889,0,0,0,330,440,28795
180,0,9368,3963,0,3963,14173250,2670,2670,0,0,0,991,1321,86469
182,0,10000,1275,0,1275,462337,426,426,0,0,0,213,213,450953
183,0,9368,1335,0,1335,44635500,839,839,0,0,0,334,445,28922
184,0,9368,1335,0,1335,47365500,781,781,0,0,0,334,445,28752
197,0,9368,7724,0,7724,15242500,762,762,0,0,0,1931,258,132903
203,0,9368,4398,0,4398,36904000,434,434,0,0,0,1100,147,37725
204,0,9368,4398,0,4398,36904000,434,434,0,0,0,1100,147,37725
207,0,1350,2864,0,2864,1404273780,2486,2486,0,0,0,6205,1241,85957
208,0,1350,2864,0,2864,0,2486,2486,0,0,0,6205,1241,85957
209,0,1350,2864,0,2864,0,2486,2486,0,0,0,6205,1241,85957
210,1800,7200,214200,53550,267750,14054400,26348,21438,4910,4017,893,71400,3570,165419
211,1800,7200,214200,53550,267750,14054400,26348,21438,4910,4017,893,71400,3570,165419
215,0,9368,20685,0,20685,15174250,12105,12105,0,0,0,5171,6895,89779
216,0,9368,20685,0,20685,15174250,12105,12105,0,0,0,5171,6895,89779
217,0,9368,20685,0,20685,15174250,12105,12105,0,0,0,5171,6895,89779
185,0,9368,1335,0,1335,47479250,779,779,0,0,0,334,445,28761
186,0,9368,2670,0,2670,27527500,1558,1558,0,0,0,668,890,49605
187,0,9368,2670,0,2670,7575750,1558,1558,0,0,0,668,890,180123
